?top_level_id	?top_level_label	?count
<http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C2991>	"Disease or Disorder"	7085
<http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C7057>	"Disease, Disorder or Finding"	35173
<http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C3262>	"Neoplasm"	400
